db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0))))) X,db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0))))) Y
5500450,59.62070222118559
5600440,59.5418651000513
5700430,59.4630812195592
5800420,59.38437299123859
5900410,59.30576157142816
6000400,59.22726691125668
6100390,59.14890780581927
6200380,59.07070194242019
6300370,58.9926659477763
6400360,58.91481543408826
6500350,58.83716504391015
6600340,58.75972849375955
6700330,58.68251861642416
6800320,58.60554740193518
6900310,58.52882603718594
7000300,58.45236494418499
7100290,58.37617381694184
7200280,58.30026165698915
7300270,58.22463680755187
7400260,58.14930698638146
7500250,58.07427931727209
7600240,57.99956036028782
7700230,57.92515614072595
7800220,57.85107217684501
7900210,57.77731350639528
8000200,57.70388471197973
8100190,57.63078994528364
8200180,57.55803295020986
8300170,57.48561708495329
8400160,57.41354534305401
8500150,57.34182037346525
8600140,57.2704444996716
8700130,57.19941973789665
8800120,57.12874781443341
8900110,57.05843018213461
9000100,56.9884680360959
9100090,56.91886232856746
9200080,56.84961378312696
9300070,56.780722908144
9400060,56.71219000957005
9500050,56.64401520308127
9600040,56.57619842560655
9700030,56.50873944626561
9800020,56.44163787674755
9900010,56.37489318115279
10000000,56.30850468532722
550001000,56.30850468532722
550100990,56.30782209968498
550200980,56.30686020869027
550300970,56.30562259447372
550400960,56.30411394131484
550500950,56.30233998942273
550600940,56.30030747874922
550700930,56.29802408385796
550800920,56.29549834101457
550900910,56.29273956876722
551000900,56.28975778336056
551100890,56.28656361036213
551200880,56.28316819388188
551300870,56.279583104737
551400860,56.27582024885353
551500850,56.27189177711213
551600840,56.26780999773893
551700830,56.26358729222072
551800820,56.25923603558816
551900810,56.25476852177154
552000800,56.25019689458856
552100790,56.24553308478333
552200780,56.24078875339791
552300770,56.23597524163085
552400760,56.23110352721756
552500750,56.22618418731132
552600740,56.22122736742018
552700730,56.21624275685434
552800720,56.21123956946518
552900710,56.20622652999601
553000700,56.20121186538428
553100690,56.19620330063964
553200680,56.19120805886314
553300670,56.18623286496871
553400660,56.18128395266967
553500650,56.17636707430442
553600640,56.17148751309084
553700630,56.16665009741964
553800620,56.16185921682045
553900610,56.15711883926154
554000600,56.15243252947091
554100590,56.14780346799623
554200580,56.14323447074861
554300570,56.13872800880479
554400560,56.13428622826809
554500550,56.12991097001603
554600540,56.12560378918609
554700530,56.12136597427452
554800520,56.11719856574403
554900510,56.11310237405555
555000500,56.10907799705684
555100490,56.10512583667612
555200480,56.10124611488303
555300470,56.09743888889135
555400460,56.09370406558862
555500450,56.09004141518695
555600440,56.08645058409729
555700430,56.08293110703558
555800420,56.07948241837577
555900410,56.07610386276752
556000400,56.07279470504196
556100390,56.06955413942984
556200380,56.06638129811985
556300370,56.06327525918594
556400360,56.06023505391285
556500350,56.0572596735512
556600340,56.05434807553159
556700330,56.05149918916877
556800320,56.04871192088552
556900310,56.04598515898584
557000300,56.04331777800543
557100290,56.04070864266778
557200280,56.03815661147188
557300270,56.03566053993725
557400260,56.03321928353074
557500250,56.03083170029778
557600240,56.02849665322066
557700230,56.02621301232403
557800220,56.0239796565474
557900210,56.02179547540313
558000200,56.01965937043715
558100190,56.01757025650824
558200180,56.01552706290167
558300170,56.0135287342906
558400160,56.0115742315589
558500150,56.0096625324972
558600140,56.00779263238402
558700130,56.00596354446178
558800120,56.00417430031828
558900110,56.00242395018186
559000100,56.00071156313903
559100090,55.99903622728207
559200080,55.9973970497937
559300070,55.9957931569753
559400060,55.99422369422446
559500050,55.99268782596775
559600040,55.99118473555338
559700030,55.98971362510819
559800020,55.98827371536384
559900010,55.98686424545526
560000000,55.98548447269523
