; S-parameter data file sp_sweep.out.
; Sat May 18 12:17:37 2024
; Number of ports is 1
; FundFreq: 1.00000000e+09 
; Small Signal Analysis: psp 
; SweepType: abs 
; portharmsvec= [ 1 ] 

reference resistance 
		 port1 = 50.000000 

format freq:  s1:1(db,rad) 	 
9.91770000e+08:         -15.871,        1.13705     
9.91780000e+08:        -15.8764,        1.13588     
9.91790000e+08:        -15.8818,         1.1347     
9.91800000e+08:        -15.8872,        1.13353     
9.91810000e+08:        -15.8926,        1.13235     
9.91820000e+08:         -15.898,        1.13117     
9.91830000e+08:        -15.9033,        1.12999     
9.91840000e+08:        -15.9087,        1.12881     
9.91850000e+08:        -15.9141,        1.12763     
9.91860000e+08:        -15.9195,        1.12644     
9.91870000e+08:        -15.9249,        1.12526     
9.91880000e+08:        -15.9303,        1.12407     
9.91890000e+08:        -15.9357,        1.12289     
9.91900000e+08:        -15.9411,         1.1217     
9.91910000e+08:        -15.9465,        1.12051     
9.91920000e+08:        -15.9519,        1.11932     
9.91930000e+08:        -15.9573,        1.11812     
9.91940000e+08:        -15.9627,        1.11693     
9.91950000e+08:        -15.9681,        1.11573     
9.91960000e+08:        -15.9735,        1.11454     
9.91970000e+08:        -15.9789,        1.11334     
9.91980000e+08:        -15.9843,        1.11214     
9.91990000e+08:        -15.9896,        1.11094     
9.92000000e+08:         -15.995,        1.10974     
9.92010000e+08:        -16.0004,        1.10853     
9.92020000e+08:        -16.0058,        1.10733     
9.92030000e+08:        -16.0112,        1.10612     
9.92040000e+08:        -16.0166,        1.10492     
9.92050000e+08:         -16.022,        1.10371     
9.92060000e+08:        -16.0274,         1.1025     
9.92070000e+08:        -16.0328,        1.10129     
9.92080000e+08:        -16.0382,        1.10007     
9.92090000e+08:        -16.0436,        1.09886     
9.92100000e+08:         -16.049,        1.09764     
9.92110000e+08:        -16.0544,        1.09643     
9.92120000e+08:        -16.0598,        1.09521     
9.92130000e+08:        -16.0652,        1.09399     
9.92140000e+08:        -16.0706,        1.09277     
9.92150000e+08:         -16.076,        1.09155     
9.92160000e+08:        -16.0814,        1.09032     
9.92170000e+08:        -16.0868,         1.0891     
9.92180000e+08:        -16.0922,        1.08787     
9.92190000e+08:        -16.0976,        1.08665     
9.92200000e+08:         -16.103,        1.08542     
