db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1)))) X,db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1)))) Y
7700230.00000006,6.18533870576996
7750225.00000006,6.184777146516024
7800220.00000006,6.184212890053979
7850215.00000006,6.183645937463032
7900210.00000006,6.183076289827354
7950205.00000006,6.182503948235805
8000200.00000006,6.181928913781741
8050195.00000006,6.181351187563315
8100190.00000006,6.180770770683381
8150185.00000006,6.180187664249356
8200180.00000006,6.179601869373466
8250175.00000006,6.179013387172488
8300170.00000006,6.178422218767599
8350165.00000006,6.17782836528523
8400160.00000006,6.177231827855783
8450155.00000006,6.176632607614731
8500150.00000006,6.176030705701967
8550145.00000006,6.175426123262023
8600140.00000006,6.174818861444021
8650135.00000006,6.17420892140164
8700130.00000006,6.173596304293366
8750125.00000006,6.172981011281923
8800120.00000006,6.172363043534897
8850115.00000006,6.171742402224386
8900110.00000006,6.171119088526783
