db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic 0))))) X,db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic 0))))) Y
551000900,55.78846864734744
551100890,55.78768669533031
551200880,55.78684782050136
551300870,55.78595309497766
551400860,55.78500365381524
551500850,55.7840006914591
551600840,55.78294545806182
551700830,55.78183925569097
551800820,55.7806834344459
551900810,55.77947938850456
552000800,55.77822855212041
552100790,55.77693239558957
552200780,55.7755924212076
552300770,55.77421015923468
552400760,55.77278716388739
552500750,55.77132500937418
552600740,55.76982528599095
552700730,55.76828959629184
552800720,55.76671955134937
552900710,55.76511676711704
553000700,55.76348286090605
553100690,55.76181944798677
553200680,55.76012813832416
553300670,55.75841053345555
553400660,55.7566682235172
553500650,55.75490278442587
553600640,55.75311577521934
553700630,55.75130873555968
553800620,55.74948318340127
553900610,55.74764061282508
554000600,55.74578249203927
554100590,55.74391026151629
554200580,55.74202533243909
554300570,55.74012908502247
554400560,55.73822286727761
554500550,55.73630799379119
554600540,55.73438574468376
554700530,55.73245736471448
554800520,55.73052406252736
554900510,55.72858701003327
555000500,55.7266473419222
555100490,55.72470615529944
555200480,55.72276450943956
555300470,55.72082342565188
555400460,55.71888388725086
555500450,55.71694683962502
555600440,55.71501319039762
555700430,55.71308380967314
555800420,55.71115953036268
555900410,55.70924114858235
556000400,55.70732942411827
556100390,55.70542508095249
556200380,55.7035288078437
556300370,55.70164125895747
556400360,55.69976305454026
556500350,55.69789478163267
556600340,55.69603699481603
556700330,55.69419021698863
556800320,55.6923549401666
556900310,55.69053162630542
557000300,55.68872070813776
557100290,55.68692259002479
557200280,55.68513764881644
557300270,55.68336623471812
557400260,55.68160867216071
557500250,55.67986526067099
557600240,55.67813627573994
557700230,55.67642196968688
557800220,55.67472257251674
557900210,55.67303829276927
558000200,55.67136931835783
558100190,55.66971581739652
558200180,55.66807793901425
558300170,55.6664558141543
558400160,55.66484955635862
558500150,55.66325926253562
558600140,55.66168501371089
558700130,55.66012687576002
558800120,55.65858490012302
558900110,55.65705912449985
559000100,55.6555495735268
559100090,55.65405625943333
559200080,55.65257918267925
559300070,55.65111833257224
559400060,55.64967368786535
559500050,55.64824521733507
559600040,55.64683288033955
559700030,55.64543662735722
559800020,55.64405640050634
559900010,55.64269213404532
560000000,55.64134375485417
